City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavieng,100,PG,1665538862,61,-2.5744,150.7967,85.95,5.46
1,Kavaratti,100,IN,1665538862,74,10.5669,72.642,81.21,7.05
2,Carnarvon,48,AU,1665538862,46,-24.8667,113.6333,65.14,25.9
3,Piaçabuçu,6,BR,1665538862,82,-10.4056,-36.4344,74.37,10.47
4,Bethel,0,US,1665538862,80,41.3712,-73.414,59.65,1.01
5,Tynda,100,RU,1665538681,67,55.1667,124.7167,36.12,2.64
6,Mataura,3,NZ,1665538863,37,-46.1927,168.8643,59.18,3.47
7,Poya,100,NC,1665538863,57,-21.35,165.15,81.59,5.21
8,Uribia,69,CO,1665538863,76,11.7139,-72.266,82.27,14.9
9,Caravelas,40,BR,1665538863,73,-17.7125,-39.2481,74.7,8.68
10,Ahipara,100,NZ,1665538863,59,-35.1667,173.1667,63.68,1.68
11,Lebu,100,CL,1665538864,94,-37.6167,-73.65,52.0,3.67
12,Ushuaia,20,AR,1665538859,87,-54.8,-68.3,37.06,3.44
13,Fortuna,75,US,1665538864,85,40.5982,-124.1573,57.92,3.44
14,Issum,100,DE,1665538782,98,51.5333,6.4333,50.45,3.0
15,Airai,100,TL,1665538864,53,-8.9266,125.4092,74.97,1.74
16,Taksimo,59,RU,1665538864,77,56.3444,114.8794,39.96,3.4
17,Jamestown,0,US,1665538865,61,42.097,-79.2353,59.72,4.61
18,Kruisfontein,100,ZA,1665538865,94,-34.0033,24.7314,61.88,2.08
19,Torbay,0,CA,1665538865,76,47.6666,-52.7314,49.26,19.57
20,Kahului,75,US,1665538865,71,20.8947,-156.47,86.02,10.36
21,Rikitea,49,PF,1665538865,79,-23.1203,-134.9692,70.11,14.99
22,Albany,0,US,1665538866,88,42.6001,-73.9662,54.23,4.14
23,Avarua,75,CK,1665538866,83,-21.2078,-159.775,77.05,17.27
24,Jyvaskyla,0,FI,1665538643,94,62.2415,25.7209,39.54,4.61
25,Cherskiy,36,RU,1665538866,90,68.75,161.3,15.22,7.94
26,Chokurdakh,57,RU,1665538833,77,70.6333,147.9167,16.57,9.84
27,Bengkulu,100,ID,1665538866,78,-3.8004,102.2655,78.6,3.22
28,Geraldton,0,AU,1665538866,48,-28.7667,114.6,63.01,17.27
29,Hermanus,100,ZA,1665538866,93,-34.4187,19.2345,60.8,4.38
30,Ranong,100,TH,1665538867,80,9.9658,98.6348,80.53,1.77
31,Acajutla,100,SV,1665538867,86,13.5928,-89.8275,79.47,3.13
32,Port Macquarie,57,AU,1665538867,63,-31.4333,152.9167,69.89,8.93
33,Baruun-Urt,52,MN,1665538867,31,46.6806,113.2792,46.29,10.18
34,San Julián,81,MX,1665538868,50,21.0167,-102.1667,61.95,6.15
35,Punta Arenas,75,CL,1665538722,81,-53.15,-70.9167,39.31,18.41
36,Barrow,75,US,1665538801,86,71.2906,-156.7887,30.22,19.57
37,Berlevåg,75,NO,1665538868,81,70.8578,29.0864,44.6,11.5
38,Coyhaique,75,CL,1665538868,57,-45.5752,-72.0662,46.35,12.66
39,Tàrrega,100,ES,1665538763,83,41.647,1.1396,61.14,1.14
40,Cape Town,20,ZA,1665538574,85,-33.9258,18.4232,63.12,12.66
41,Serik,80,TR,1665538869,53,36.9169,31.0989,64.65,3.6
42,Oddur,20,SO,1665538869,78,4.1213,43.8894,68.74,12.21
43,Hilo,20,US,1665538869,76,19.7297,-155.09,86.29,10.36
44,New Norfolk,100,AU,1665538869,60,-42.7826,147.0587,63.91,1.99
